Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,4000000,0.0000009537,s
5000,4000000,0.0004439354,n
61396,4000000,0.0003640652,n
152503,4000000,0.0003559589,n
214826,4000000,0.0003309250,n
322486,4000000,0.0003428459,s
3128036,4000000,0.0004091263,s
6337399,4000000,0.0003149509,s
10393545,4000000,0.0003759861,s
14700764,4000000,0.0003628731,n
187645041,4000000,0.0003437996,n
450057883,4000000,0.0003719330,n
1295390003,4000000,0.0003559589,n
1360839354,4000000,0.0003221035,n
1493283650,4000000,0.0003709793,n
1843349527,4000000,0.0003559589,n
1980098116,4000000,0.0004470348,n
2109248666,4000000,0.0003390312,n
2147445644,4000000,0.0003468990,n
214747085,4000000,0.0003480911,n
