Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,6000000,0.0000000000,s
5000,6000000,0.0003449917,n
61396,6000000,0.0003669262,n
152503,6000000,0.0003728867,n
214826,6000000,0.0003428459,n
322486,6000000,0.0003609657,s
3128036,6000000,0.0003411770,s
6337399,6000000,0.0003449917,s
10393545,6000000,0.0003829002,s
14700764,6000000,0.0003530979,n
187645041,6000000,0.0003650188,n
450057883,6000000,0.0003480911,n
1295390003,6000000,0.0003440380,n
1360839354,6000000,0.0003600121,n
1493283650,6000000,0.0003712177,n
1843349527,6000000,0.0003530979,n
1980098116,6000000,0.0003509521,n
2109248666,6000000,0.0003700256,n
2147445644,6000000,0.0003380775,n
214747085,6000000,0.0003697872,n
