Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,8000000,0.0000009537,s
5000,8000000,0.0003590584,n
61396,8000000,0.0003678799,n
152503,8000000,0.0003521442,n
214826,8000000,0.0003569126,n
322486,8000000,0.0003728867,s
3128036,8000000,0.0003550053,s
6337399,8000000,0.0004360676,s
10393545,8000000,0.0004000664,s
14700764,8000000,0.0003387928,n
187645041,8000000,0.0003471375,n
450057883,8000000,0.0003468990,n
1295390003,8000000,0.0003960133,s
1360839354,8000000,0.0003609657,n
1493283650,8000000,0.0003559589,s
1843349527,8000000,0.0003650188,n
1980098116,8000000,0.0003800392,n
2109248666,8000000,0.0003540516,n
2147445644,8000000,0.0003349781,n
214747085,8000000,0.0003688335,n
