Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,7000000,0.0000011921,s
5000,7000000,0.0003690720,n
61396,7000000,0.0004298687,n
152503,7000000,0.0003399849,n
214826,7000000,0.0003621578,n
322486,7000000,0.0003769398,s
3128036,7000000,0.0003440380,s
6337399,7000000,0.0003540516,s
10393545,7000000,0.0003290176,s
14700764,7000000,0.0003311634,n
187645041,7000000,0.0003378391,n
450057883,7000000,0.0003671646,n
1295390003,7000000,0.0003778934,s
1360839354,7000000,0.0003550053,n
1493283650,7000000,0.0004599094,s
1843349527,7000000,0.0003509521,n
1980098116,7000000,0.0003838539,n
2109248666,7000000,0.0003490448,n
2147445644,7000000,0.0003440380,n
214747085,7000000,0.0003499985,n
