Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,5000000,0.0000009537,s
5000,5000000,0.0003597736,n
61396,5000000,0.0003411770,n
152503,5000000,0.0003499985,n
214826,5000000,0.0003480911,n
322486,5000000,0.0003728867,s
3128036,5000000,0.0003480911,s
6337399,5000000,0.0003509521,s
10393545,5000000,0.0003788471,s
14700764,5000000,0.0003788471,n
187645041,5000000,0.0004150867,n
450057883,5000000,0.0003678799,n
1295390003,5000000,0.0003519058,n
1360839354,5000000,0.0003299713,n
1493283650,5000000,0.0003271103,n
1843349527,5000000,0.0003681183,n
1980098116,5000000,0.0003490448,n
2109248666,5000000,0.0003230572,n
2147445644,5000000,0.0003638268,n
214747085,5000000,0.0003650188,n
