Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,10000000,0.0000009537,s
5000,10000000,0.0003559589,n
61396,10000000,0.0004169941,n
152503,10000000,0.0003571510,n
214826,10000000,0.0003309250,n
322486,10000000,0.0003709793,s
3128036,10000000,0.0003559589,s
6337399,10000000,0.0003650188,s
10393545,10000000,0.0003480911,s
14700764,10000000,0.0003571510,n
187645041,10000000,0.0003480911,n
450057883,10000000,0.0003290176,n
1295390003,10000000,0.0003969669,s
1360839354,10000000,0.0003459454,n
1493283650,10000000,0.0003690720,s
1843349527,10000000,0.0003650188,s
1980098116,10000000,0.0003430843,n
2109248666,10000000,0.0004379749,s
2147445644,10000000,0.0003571510,n
214747085,10000000,0.0003559589,s
