Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,2000000,0.0003190041,n
5000,2000000,0.0003268719,n
61396,2000000,0.0003008842,n
152503,2000000,0.0003070831,n
214826,2000000,0.0002939701,n
322486,2000000,0.0003750324,s
3128036,2000000,0.0003161430,s
6337399,2000000,0.0002980232,s
10393545,2000000,0.0003089905,s
14700764,2000000,0.0003161430,n
187645041,2000000,0.0002770424,n
450057883,2000000,0.0002830029,n
1295390003,2000000,0.0002930164,n
1360839354,2000000,0.0002939701,n
1493283650,2000000,0.0002861023,n
1843349527,2000000,0.0002858639,n
1980098116,2000000,0.0003168583,n
2109248666,2000000,0.0002999306,n
2147445644,2000000,0.0003268719,n
2147470852,2000000,0.0002999306,n
