Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,6000000,0.0041100979,n
5000,6000000,0.0003070831,n
61396,6000000,0.0003340244,n
152503,6000000,0.0002870560,n
214826,6000000,0.0002608299,n
322486,6000000,0.0003030300,s
3128036,6000000,0.0003120899,s
6337399,6000000,0.0003170967,s
10393545,6000000,0.0003318787,s
14700764,6000000,0.0002999306,n
187645041,6000000,0.0003089905,n
450057883,6000000,0.0002989769,n
1295390003,6000000,0.0003120899,n
1360839354,6000000,0.0003011227,n
1493283650,6000000,0.0002858639,n
1843349527,6000000,0.0005419254,n
1980098116,6000000,0.0002691746,n
2109248666,6000000,0.0002911091,n
2147445644,6000000,0.0002689362,n
2147470852,6000000,0.0003302097,n
