Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,10000000,0.0002980232,n
5000,10000000,0.0003058910,n
61396,10000000,0.0021500587,n
152503,10000000,0.0002870560,n
214826,10000000,0.0002961159,n
322486,10000000,0.0003499985,s
3128036,10000000,0.0003290176,s
6337399,10000000,0.0003240108,s
10393545,10000000,0.0003070831,s
14700764,10000000,0.0003900528,n
187645041,10000000,0.0003001690,n
450057883,10000000,0.0003149509,n
1295390003,10000000,0.0003240108,s
1360839354,10000000,0.0003800392,n
1493283650,10000000,0.0002610683,s
1843349527,10000000,0.0003280640,s
1980098116,10000000,0.0003039837,n
2109248666,10000000,0.0003571510,s
2147445644,10000000,0.0002930164,n
2147470852,10000000,0.0003280640,s
