Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,5000000,0.0002858639,n
5000,5000000,0.0028190613,n
61396,5000000,0.0003600121,n
152503,5000000,0.0003628731,n
214826,5000000,0.0002899170,n
322486,5000000,0.0003509521,s
3128036,5000000,0.0002791882,s
6337399,5000000,0.0003049374,s
10393545,5000000,0.0003070831,s
14700764,5000000,0.0002899170,n
187645041,5000000,0.0002751350,n
450057883,5000000,0.0002779961,n
1295390003,5000000,0.0003199577,n
1360839354,5000000,0.0003168583,n
1493283650,5000000,0.0003130436,n
1843349527,5000000,0.0003120899,n
1980098116,5000000,0.0002980232,n
2109248666,5000000,0.0003008842,n
2147445644,5000000,0.0003080368,n
2147470852,5000000,0.0003070831,n
