Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,9000000,0.0003008842,n
5000,9000000,0.0002999306,n
61396,9000000,0.0003690720,n
152503,9000000,0.0003540516,n
214826,9000000,0.0002920628,n
322486,9000000,0.0002989769,s
3128036,9000000,0.0003998280,s
6337399,9000000,0.0003190041,s
10393545,9000000,0.0002949238,s
14700764,9000000,0.0002970695,n
187645041,9000000,0.0003149509,n
450057883,9000000,0.0003089905,n
1295390003,9000000,0.0002942085,s
1360839354,9000000,0.0002911091,n
1493283650,9000000,0.0003170967,s
1843349527,9000000,0.0002951622,s
1980098116,9000000,0.0003089905,n
2109248666,9000000,0.0002880096,n
2147445644,9000000,0.0002949238,n
2147470852,9000000,0.0002939701,n
