Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,4000000,0.0003309250,n
5000,4000000,0.0003190041,n
61396,4000000,0.0002930164,n
152503,4000000,0.0002710819,n
214826,4000000,0.0002918243,n
322486,4000000,0.0002579689,s
3128036,4000000,0.0002861023,s
6337399,4000000,0.0003030300,s
10393545,4000000,0.0002999306,s
14700764,4000000,0.0002830029,n
187645041,4000000,0.0002701283,n
450057883,4000000,0.0046939850,n
1295390003,4000000,0.0002689362,n
1360839354,4000000,0.0053000450,n
1493283650,4000000,0.0006592274,n
1843349527,4000000,0.0003051758,n
1980098116,4000000,0.0004920959,n
2109248666,4000000,0.0003271103,n
2147445644,4000000,0.0002949238,n
2147470852,4000000,0.0002939701,n
