Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,9000000,0.000492096,n
5000,9000000,0.000476122,n
61396,9000000,0.000603914,n
152503,9000000,0.00048089,n
214826,9000000,0.000653029,n
322486,9000000,0.000582933,s
3128036,9000000,0.000479937,s
6337399,9000000,0.000475168,s
10393545,9000000,0.000519991,s
14700764,9000000,0.000475884,n
187645041,9000000,0.00059104,n
450057883,9000000,0.000497818,n
1295390003,9000000,0.000507116,s
1360839354,9000000,0.000516892,n
1493283650,9000000,0.000504017,s
1843349527,9000000,0.000499964,s
1980098116,9000000,0.000531912,n
2109248666,9000000,0.000502825,s
2147445644,9000000,0.000509024,n
2147470852,9000000,0.000501871,s
,,,
,,0.000520122,
