Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,3000000,0.000560999,n
5000,3000000,0.00047493,n
61396,3000000,0.00048089,n
152503,3000000,0.000552893,n
214826,3000000,0.000523806,n
322486,3000000,0.000494003,n
3128036,3000000,0.000597954,s
6337399,3000000,0.000478983,n
10393545,3000000,0.000555039,n
14700764,3000000,0.000484943,n
187645041,3000000,0.000496149,n
450057883,3000000,0.000520945,n
1295390003,3000000,0.000584126,n
1360839354,3000000,0.000603199,n
1493283650,3000000,0.000477076,s
1843349527,3000000,0.000602007,s
1980098116,3000000,0.000610828,n
2109248666,3000000,0.00050807,n
2147445644,3000000,0.000487804,n
2147470852,3000000,0.000566959,n
,,,
,,0.00053308,
