Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,8000000,0.000524998,n
5000,8000000,0.000555992,n
61396,8000000,0.000496149,n
152503,8000000,0.000485182,n
214826,8000000,0.000487089,n
322486,8000000,0.000583887,n
3128036,8000000,0.000578165,s
6337399,8000000,0.000487089,s
10393545,8000000,0.000464916,s
14700764,8000000,0.000505924,n
187645041,8000000,0.00048089,n
450057883,8000000,0.00048995,n
1295390003,8000000,0.000468016,n
1360839354,8000000,0.000636101,n
1493283650,8000000,0.00059104,s
1843349527,8000000,0.00059104,s
1980098116,8000000,0.000504017,n
2109248666,8000000,0.00056982,s
2147445644,8000000,0.000482798,n
2147470852,8000000,0.000561953,s
,,,
,,0.000527251,
