Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,4000000,0.000579834,n
5000,4000000,0.000499964,n
61396,4000000,0.000501871,n
152503,4000000,0.00049305,n
214826,4000000,0.000509024,n
322486,4000000,0.000484943,n
3128036,4000000,0.000483036,s
6337399,4000000,0.002341032,n
10393545,4000000,0.00051713,n
14700764,4000000,0.000515938,n
187645041,4000000,0.000478983,n
450057883,4000000,0.000635862,n
1295390003,4000000,0.000519037,n
1360839354,4000000,0.00177002,n
1493283650,4000000,0.000454187,s
1843349527,4000000,0.000558138,s
1980098116,4000000,0.000482082,n
2109248666,4000000,0.000488997,n
2147445644,4000000,0.000470877,n
2147470852,4000000,0.000515938,n
,,,
,,0.000664997,
