Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,7000000,0.0005249977,encontrado
5000,7000000,0.0007019043,No
61396,7000000,0.0005099773,No
152503,7000000,0.0005290508,No
214826,7000000,0.0004599094,No
322486,7000000,0.0006721020,encontrado
3128036,7000000,0.0005269051,encontrado
6337399,7000000,0.0005159378,encontrado
10393545,7000000,0.0005140305,encontrado
14700764,7000000,0.0004699230,No
187645041,7000000,0.0005879402,No
450057883,7000000,0.0005309582,No
1295390003,7000000,0.0005810261,encontrado
1360839354,7000000,0.0005559921,No
1493283650,7000000,0.0005190372,encontrado
1843349527,7000000,0.0005068779,No
1980098116,7000000,0.0005548000,No
2109248666,7000000,0.0004959106,No
2147445644,7000000,0.0004498959,No
2147470852,7000000,0.0005152225,No
