Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,10000000,0.0005218983,encontrado
5000,10000000,0.0005078316,No
61396,10000000,0.0005481243,No
152503,10000000,0.0005218983,No
214826,10000000,0.0006961823,No
322486,10000000,0.0005218983,encontrado
3128036,10000000,0.0005002022,encontrado
6337399,10000000,0.0005240440,encontrado
10393545,10000000,0.0005409718,encontrado
14700764,10000000,0.0005531311,No
187645041,10000000,0.0005309582,No
450057883,10000000,0.0005190372,No
1295390003,10000000,0.0005140305,encontrado
1360839354,10000000,0.0005171299,No
1493283650,10000000,0.0005180836,encontrado
1843349527,10000000,0.0005078316,encontrado
1980098116,10000000,0.0004940033,No
2109248666,10000000,0.0005149841,encontrado
2147445644,10000000,0.0005509853,No
2147470852,10000000,0.0005960464,encontrado
