Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,5000000,0.0004630089,encontrado
5000,5000000,0.0005159378,No
61396,5000000,0.0004758835,No
152503,5000000,0.0005149841,No
214826,5000000,0.0005741119,No
322486,5000000,0.0005259514,encontrado
3128036,5000000,0.0005059242,encontrado
6337399,5000000,0.0005640984,encontrado
10393545,5000000,0.0004851818,encontrado
14700764,5000000,0.0005290508,No
187645041,5000000,0.0004708767,No
450057883,5000000,0.0005218983,No
1295390003,5000000,0.0007579327,No
1360839354,5000000,0.0005447865,No
1493283650,5000000,0.0004880428,No
1843349527,5000000,0.0005290508,No
1980098116,5000000,0.0004639626,No
2109248666,5000000,0.0005099773,No
2147445644,5000000,0.0010101795,No
2147470852,5000000,0.0005528927,No
