Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,9000000,0.0005791187,encontrado
5000,9000000,0.0005028248,No
61396,9000000,0.0005311966,No
152503,9000000,0.0007188320,No
214826,9000000,0.0005509853,No
322486,9000000,0.0004749298,encontrado
3128036,9000000,0.0005249977,encontrado
6337399,9000000,0.0005350113,encontrado
10393545,9000000,0.0005249977,encontrado
14700764,9000000,0.0004990101,No
187645041,9000000,0.0005130768,No
450057883,9000000,0.0005319118,No
1295390003,9000000,0.0005300045,encontrado
1360839354,9000000,0.0005140305,No
1493283650,9000000,0.0005180836,encontrado
1843349527,9000000,0.0005161762,encontrado
1980098116,9000000,0.0005159378,No
2109248666,9000000,0.0005669594,No
2147445644,9000000,0.0005321503,No
2147470852,9000000,0.0005218983,No
