Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,3000000,0.0004510880,encontrado
5000,3000000,0.0004580021,No
61396,3000000,0.0004971027,No
152503,3000000,0.0011980534,No
214826,3000000,0.0004830360,No
322486,3000000,0.0004780293,encontrado
3128036,3000000,0.0005011559,encontrado
6337399,3000000,0.0004229546,encontrado
10393545,3000000,0.0005249977,encontrado
14700764,3000000,0.0005128384,No
187645041,3000000,0.0006229877,No
450057883,3000000,0.0004370213,No
1295390003,3000000,0.0004770756,No
1360839354,3000000,0.0005090237,No
1493283650,3000000,0.0005750656,No
1843349527,3000000,0.0004920959,No
1980098116,3000000,0.0005290508,No
2109248666,3000000,0.0005187988,No
2147445644,3000000,0.0005378723,No
2147470852,3000000,0.0005388260,No
