Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,1000000,0.0005891323,encontrado
5000,1000000,0.0004570484,No
61396,1000000,0.0005168915,No
152503,1000000,0.0005040169,No
214826,1000000,0.0004839897,No
322486,1000000,0.0004541874,encontrado
3128036,1000000,0.0004520416,encontrado
6337399,1000000,0.0004620552,encontrado
10393545,1000000,0.0004491806,encontrado
14700764,1000000,0.0004620552,No
187645041,1000000,0.0004639626,No
450057883,1000000,0.0004460812,No
1295390003,1000000,0.0004429817,No
1360839354,1000000,0.0004901886,No
1493283650,1000000,0.0005831718,No
1843349527,1000000,0.0004460812,No
1980098116,1000000,0.0005159378,No
2109248666,1000000,0.0005128384,No
2147445644,1000000,0.0005049706,No
2147470852,1000000,0.0005128384,No
