Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,6000000,0.0005090237,encontrado
5000,6000000,0.0005209446,No
61396,6000000,0.0004730225,No
152503,6000000,0.0005059242,No
214826,6000000,0.0005049706,No
322486,6000000,0.0005090237,encontrado
3128036,6000000,0.0005059242,encontrado
6337399,6000000,0.0005140305,encontrado
10393545,6000000,0.0005359650,encontrado
14700764,6000000,0.0005109310,No
187645041,6000000,0.0005040169,No
450057883,6000000,0.0006098747,No
1295390003,6000000,0.0005249977,No
1360839354,6000000,0.0005230904,No
1493283650,6000000,0.0005190372,No
1843349527,6000000,0.0005159378,No
1980098116,6000000,0.0005869865,No
2109248666,6000000,0.0005190372,No
2147445644,6000000,0.0005130768,No
2147470852,6000000,0.0005190372,No
