Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,10000000,0.02592206,n
5000,10000000,0.026457071,n
61396,10000000,0.026782036,n
152503,10000000,0.027087927,n
214826,10000000,0.033043861,n
322486,10000000,0.026192188,n
3128036,10000000,0.027352095,n
6337399,10000000,0.031184912,n
10393545,10000000,0.025457144,n
14700764,10000000,0.027392149,n
187645041,10000000,0.026687145,n
450057883,10000000,0.026181936,n
1295390003,10000000,0.026435137,n
1360839354,10000000,0.027196884,n
1493283650,10000000,0.014194012,s
1843349527,10000000,0.024661064,s
1980098116,10000000,0.026603937,n
2109248666,10000000,0.02835393,s
2147445644,10000000,0.036602974,n
2147470852,10000000,0.031815052,n
,,,
,,0.027280176,
