Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,3000000,0.008850098,n
5000,3000000,0.008694887,n
61396,3000000,0.008732081,n
152503,3000000,0.009114981,n
214826,3000000,0.008681059,n
322486,3000000,0.008740902,n
3128036,3000000,0.008275986,n
6337399,3000000,0.008655071,n
10393545,3000000,0.00863719,n
14700764,3000000,0.008767128,n
187645041,3000000,0.008621931,n
450057883,3000000,0.008748055,n
1295390003,3000000,0.008846998,n
1360839354,3000000,0.008685827,n
1493283650,3000000,0.004443884,s
1843349527,3000000,0.008671045,s
1980098116,3000000,0.008777142,n
2109248666,3000000,0.009177923,n
2147445644,3000000,0.00876689,n
2147470852,3000000,0.008586884,n
,,,
,,0.008523798,
