Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,5000000,0.015985012,n
5000,5000000,0.014825821,n
61396,5000000,0.014487982,n
152503,5000000,0.014317036,n
214826,5000000,0.014428139,n
322486,5000000,0.014239073,n
3128036,5000000,0.020009995,n
6337399,5000000,0.014406204,n
10393545,5000000,0.013331175,n
14700764,5000000,0.014470816,n
187645041,5000000,0.027179003,n
450057883,5000000,0.014750958,n
1295390003,5000000,0.014291763,n
1360839354,5000000,0.01451993,n
1493283650,5000000,0.007224083,s
1843349527,5000000,0.013170004,s
1980098116,5000000,0.015017033,n
2109248666,5000000,0.013318062,n
2147445644,5000000,0.01461792,n
2147470852,5000000,0.014061928,n
,,,
,,0.014932597,
