Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,7000000,0.0004420280,s
5000,7000000,0.0004649162,n
61396,7000000,0.0004820824,n
152503,7000000,0.0004360676,n
214826,7000000,0.0005128384,n
322486,7000000,0.0004599094,s
3128036,7000000,0.0004839897,s
6337399,7000000,0.0004439354,s
10393545,7000000,0.0004858971,s
14700764,7000000,0.0008060932,n
187645041,7000000,0.0005791187,n
450057883,7000000,0.0004589558,n
1295390003,7000000,0.0004670620,s
1360839354,7000000,0.0004599094,n
1493283650,7000000,0.0004980564,s
1843349527,7000000,0.0004649162,n
1980098116,7000000,0.0004658699,n
2109248666,7000000,0.0009710789,n
2147445644,7000000,0.0041148663,n
2147470852,7000000,0.0005009174,n
