Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,2000000,0.0008771420,s
5000,2000000,0.0004749298,n
61396,2000000,0.0011460781,n
152503,2000000,0.0004708767,n
214826,2000000,0.0004389286,n
322486,2000000,0.0005071163,s
3128036,2000000,0.0025219917,s
6337399,2000000,0.0004451275,s
10393545,2000000,0.0004439354,s
14700764,2000000,0.0004310608,n
187645041,2000000,0.0005052090,n
450057883,2000000,0.0004498959,n
1295390003,2000000,0.0004670620,n
1360839354,2000000,0.0004639626,n
1493283650,2000000,0.0042021275,n
1843349527,2000000,0.0004467964,n
1980098116,2000000,0.0004289150,n
2109248666,2000000,0.0004301071,n
2147445644,2000000,0.0004279613,n
2147470852,2000000,0.0004689693,n
