Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,9000000,0.0004689693,s
5000,9000000,0.0005929470,n
61396,9000000,0.0004639626,n
152503,9000000,0.0004639626,n
214826,9000000,0.0004658699,n
322486,9000000,0.0012638569,s
3128036,9000000,0.0004649162,s
6337399,9000000,0.0005240440,s
10393545,9000000,0.0004549026,s
14700764,9000000,0.0004739761,n
187645041,9000000,0.0004630089,n
450057883,9000000,0.0004551411,n
1295390003,9000000,0.0004630089,s
1360839354,9000000,0.0004661083,n
1493283650,9000000,0.0004460812,s
1843349527,9000000,0.0005800724,s
1980098116,9000000,0.0004568100,n
2109248666,9000000,0.0005300045,n
2147445644,9000000,0.0005261898,n
2147470852,9000000,0.0004699230,n
