Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,1000000,0.0004441738,s
5000,1000000,0.0005469322,n
61396,1000000,0.0004539490,n
152503,1000000,0.0004520416,n
214826,1000000,0.0004599094,n
322486,1000000,0.0004301071,s
3128036,1000000,0.0004231930,s
6337399,1000000,0.0004339218,s
10393545,1000000,0.0004398823,s
14700764,1000000,0.0004708767,n
187645041,1000000,0.0004260540,n
450057883,1000000,0.0004308224,n
1295390003,1000000,0.0004169941,n
1360839354,1000000,0.0004220009,n
1493283650,1000000,0.0004580021,n
1843349527,1000000,0.0004549026,n
1980098116,1000000,0.0004780293,n
2109248666,1000000,0.0004930496,n
2147445644,1000000,0.0004451275,n
2147470852,1000000,0.0004479885,n
