Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,8000000,0.0004551411,s
5000,8000000,0.0005440712,n
61396,8000000,0.0005559921,n
152503,8000000,0.0004920959,n
214826,8000000,0.0012938976,n
322486,8000000,0.0004670620,s
3128036,8000000,0.0004861355,s
6337399,8000000,0.0004870892,s
10393545,8000000,0.0004758835,s
14700764,8000000,0.0005409718,n
187645041,8000000,0.0004851818,n
450057883,8000000,0.0005331039,n
1295390003,8000000,0.0004329681,s
1360839354,8000000,0.0004420280,n
1493283650,8000000,0.0004680157,s
1843349527,8000000,0.0004949570,n
1980098116,8000000,0.0005049706,n
2109248666,8000000,0.0017919540,n
2147445644,8000000,0.0004608631,n
2147470852,8000000,0.0004999638,n
