Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,3000000,0.006346941,N
5000,3000000,0.006351948,N
61396,3000000,0.00632596,N
152503,3000000,0.00652504,N
214826,3000000,0.006390095,N
322486,3000000,0.006504059,N
3128036,3000000,0.003205061,S
6337399,3000000,0.0070889,N
10393545,3000000,0.006201029,N
14700764,3000000,0.006299019,N
187645041,3000000,0.006324053,N
450057883,3000000,0.006312132,N
1295390003,3000000,0.006281138,N
1360839354,3000000,0.006301165,N
1493283650,3000000,0.001568079,S
1843349527,3000000,0.005236149,S
1980098116,3000000,0.00631094,N
2109248666,3000000,0.006303072,N
2147445644,3000000,0.006296158,N
2147470852,3000000,0.006305933,N
,,,
,,0.005923843,
