Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,10000000,0.020794869,N
5000,10000000,0.020362854,N
61396,10000000,0.020362139,N
152503,10000000,0.0205791,N
214826,10000000,0.020035982,N
322486,10000000,0.017343044,S
3128036,10000000,0.00308609,S
6337399,10000000,0.012846947,S
10393545,10000000,0.014427185,S
14700764,10000000,0.019976139,N
187645041,10000000,0.020231962,N
450057883,10000000,0.020339012,N
1295390003,10000000,0.01690793,S
1360839354,10000000,0.020358801,N
1493283650,10000000,0.001590967,S
1843349527,10000000,0.00531292,S
1980098116,10000000,0.020509958,N
2109248666,10000000,0.01364708,S
2147445644,10000000,0.021441221,N
2147470852,10000000,0.016608954,S
,,,
,,0.016338158,
