Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,8000000,0.016736984,N
5000,8000000,0.016657114,N
61396,8000000,0.016403914,N
152503,8000000,0.016758919,N
214826,8000000,0.016474009,N
322486,8000000,0.016421795,N
3128036,8000000,0.003298044,S
6337399,8000000,0.012990952,S
10393545,8000000,0.01416707,S
14700764,8000000,0.016381025,N
187645041,8000000,0.016370058,N
450057883,8000000,0.016288996,N
1295390003,8000000,0.016872883,N
1360839354,8000000,0.01630497,N
1493283650,8000000,0.001574993,S
1843349527,8000000,0.00524497,S
1980098116,8000000,0.016248941,N
2109248666,8000000,0.013614178,S
2147445644,8000000,0.016463995,N
2147470852,8000000,0.016093969,S
,,,
,,0.014068389,
