Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,4000000,0.008496046,N
5000,4000000,0.008229017,N
61396,4000000,0.008391857,N
152503,4000000,0.008358002,N
214826,4000000,0.008728981,N
322486,4000000,0.008455992,N
3128036,4000000,0.003268004,S
6337399,4000000,0.009279966,N
10393545,4000000,0.009319067,N
14700764,4000000,0.008614063,N
187645041,4000000,0.009647846,N
450057883,4000000,0.008514166,N
1295390003,4000000,0.008590937,N
1360839354,4000000,0.008421183,N
1493283650,4000000,0.001523018,S
1843349527,4000000,0.005273104,S
1980098116,4000000,0.008693934,N
2109248666,4000000,0.009140968,N
2147445644,4000000,0.009091139,N
2147470852,4000000,0.008702993,N
,,,
,,0.007937014,
