Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,7000000,0.01398778,N
5000,7000000,0.014923096,N
61396,7000000,0.015486002,N
152503,7000000,0.014576912,N
214826,7000000,0.01473999,N
322486,7000000,0.014369965,N
3128036,7000000,0.00338912,S
6337399,7000000,0.013399124,S
10393545,7000000,0.01440382,S
14700764,7000000,0.014736176,N
187645041,7000000,0.014623165,N
450057883,7000000,0.014889002,N
1295390003,7000000,0.014407873,N
1360839354,7000000,0.014770985,N
1493283650,7000000,0.001606941,S
1843349527,7000000,0.005290985,S
1980098116,7000000,0.014640093,N
2109248666,7000000,0.013674974,S
2147445644,7000000,0.014522076,N
2147470852,7000000,0.016318083,N
,,,
,,0.012937808,
