Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,5000000,0.010306835,N
5000,5000000,0.010167122,N
61396,5000000,0.010185957,N
152503,5000000,0.010203123,N
214826,5000000,0.011262894,N
322486,5000000,0.010602951,N
3128036,5000000,0.003304958,S
6337399,5000000,0.010351896,N
10393545,5000000,0.010348082,N
14700764,5000000,0.011034012,N
187645041,5000000,0.010473013,N
450057883,5000000,0.010553122,N
1295390003,5000000,0.011349917,N
1360839354,5000000,0.010344029,N
1493283650,5000000,0.002378941,S
1843349527,5000000,0.005330086,S
1980098116,5000000,0.012710095,N
2109248666,5000000,0.010856867,N
2147445644,5000000,0.01183486,N
2147470852,5000000,0.01019311,N
,,,
,,,
,,0.009689593,
