Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,6000000,0.0005068779,s
5000,6000000,0.0005178452,n
61396,6000000,0.0009198189,n
152503,6000000,0.0004849434,n
214826,6000000,0.0005078316,n
322486,6000000,0.0005071163,s
3128036,6000000,0.0005071163,s
6337399,6000000,0.0005240440,s
10393545,6000000,0.0004510880,s
14700764,6000000,0.0004711151,n
187645041,6000000,0.0004689693,n
450057883,6000000,0.0005171299,n
1295390003,6000000,0.0005550385,n
1360839354,6000000,0.0004920959,n
1493283650,6000000,0.0007281303,n
1843349527,6000000,0.0004701614,n
1980098116,6000000,0.0004889965,n
2109248666,6000000,0.0004968643,n
2147445644,6000000,0.0005259514,n
2147470852,6000000,0.0005140305,n
