Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,5000000,0.0004749298,s
5000,5000000,0.0007297993,No
61396,5000000,0.0004909039,No
152503,5000000,0.0006620884,No
214826,5000000,0.0004799366,No
322486,5000000,0.0004620552,s
3128036,5000000,0.0005018711,s
6337399,5000000,0.0004470348,s
10393545,5000000,0.0005228519,s
14700764,5000000,0.0004580021,No
187645041,5000000,0.0004451275,No
450057883,5000000,0.0008199215,No
1295390003,5000000,0.0005431175,No
1360839354,5000000,0.0010399818,No
1493283650,5000000,0.0004558563,No
1843349527,5000000,0.0005099773,No
1980098116,5000000,0.0005178452,No
2109248666,5000000,0.0004649162,No
2147445644,5000000,0.0005130768,No
2147470852,5000000,0.0005550385,No
