Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,10000000,0.0013830662,s
5000,10000000,0.0005137920,No
61396,10000000,0.0005111694,No
152503,10000000,0.0004570484,No
214826,10000000,0.0005419254,No
322486,10000000,0.0005059242,s
3128036,10000000,0.0004599094,s
6337399,10000000,0.0005209446,s
10393545,10000000,0.0005240440,s
14700764,10000000,0.0005190372,No
187645041,10000000,0.0005848408,No
450057883,10000000,0.0005149841,No
1295390003,10000000,0.0004959106,s
1360839354,10000000,0.0005152225,No
1493283650,10000000,0.0008018017,s
1843349527,10000000,0.0004777908,s
1980098116,10000000,0.0005240440,No
2109248666,10000000,0.0004630089,s
2147445644,10000000,0.0005631447,No
2147470852,10000000,0.0005211830,s
