Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,2000000,0.0005428791,s
5000,2000000,0.0005102158,No
61396,2000000,0.0005640984,No
152503,2000000,0.0005390644,No
214826,2000000,0.0004689693,No
322486,2000000,0.0005171299,s
3128036,2000000,0.0005149841,s
6337399,2000000,0.0005819798,s
10393545,2000000,0.0005030632,s
14700764,2000000,0.0004680157,No
187645041,2000000,0.0005190372, No
450057883,2000000,0.0005500317,No
1295390003,2000000,0.0004560947,No
1360839354,2000000,0.0004639626,No
1493283650,2000000,0.0004501343,No
1843349527,2000000,0.0005049706,No
1980098116,2000000,0.0004739761,No
2109248666,2000000,0.0005350113,No
2147445644,2000000,0.0004639626,No
2147470852,2000000,0.0005760193,No
